TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
27,Alex,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_8.jpeg,did not like,3.799433026
28,Alex,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_4.jpeg,liked,5.246980764
29,Alex,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_2.jpeg,did not like,3.30081769
30,Alex,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_14.jpeg,did not like,1.661473164
31,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_3.jpeg,did not like,3.613205605
32,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_17.jpeg,did not like,4.988446431
33,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_26.jpeg,did not like,3.470791822
34,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_9.jpeg,did not like,3.820572462
35,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_5.jpeg,did not like,2.455989137
36,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_28.jpeg,did not like,3.79605092
37,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_25.jpeg,liked,3.562416326
38,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_21.jpeg,did not like,2.843822497
39,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_18.jpeg,did not like,3.546495948
40,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_2.jpeg,did not like,1.672012706
41,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_27.jpeg,did not like,4.942172136
42,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_8.jpeg,did not like,2.50187214
43,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_24.jpeg,liked,2.071164779
44,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_30.jpeg,did not like,5.336503566
45,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_16.jpeg,did not like,2.642157193
46,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_11.jpeg,did not like,4.456234322
47,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_29.jpeg,did not like,4.438512181
48,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_19.jpeg,liked,2.682944783
49,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_1.jpeg,liked,4.51984296
50,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_23.jpeg,did not like,3.195382774
51,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_12.jpeg,liked,1.779333479
52,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_7.jpeg,liked,4.312468682
53,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_10.jpeg,did not like,4.940433059
54,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_6.jpeg,liked,2.7105123
55,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_13.jpeg,liked,3.602308302
56,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_20.jpeg,did not like,4.106391878
57,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_15.jpeg,did not like,3.799433026
58,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_14.jpeg,liked,5.246980764
59,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_22.jpeg,did not like,3.30081769
60,Sam,Rej,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_4.jpeg,did not like,1.661473164
61,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_14.jpeg,did not like,3.613205605
62,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_18.jpeg,did not like,4.988446431
63,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_6.jpeg,did not like,3.470791822
64,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_7.jpeg,liked,3.820572462
65,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_12.jpeg,liked,2.455989137
66,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_3.jpeg,liked,3.79605092
67,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_17.jpeg,liked,3.562416326
68,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_1.jpeg,did not like,2.843822497
69,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_27.jpeg,liked,3.546495948
70,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_2.jpeg,liked,1.672012706
71,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_15.jpeg,did not like,4.942172136
72,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_25.jpeg,liked,2.50187214
73,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_28.jpeg,did not like,2.071164779
74,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_22.jpeg,did not like,5.336503566
75,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_11.jpeg,liked,2.642157193
76,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_19.jpeg,did not like,4.456234322
77,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_21.jpeg,liked,4.438512181
78,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_23.jpeg,liked,2.682944783
79,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_8.jpeg,liked,4.51984296
80,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_29.jpeg,liked,3.195382774
81,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_10.jpeg,liked,1.779333479
82,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_24.jpeg,liked,4.312468682
83,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_9.jpeg,liked,4.940433059
84,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_20.jpeg,liked,2.7105123
85,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_16.jpeg,liked,3.602308302
86,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_26.jpeg,did not like,4.106391878
87,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_13.jpeg,liked,3.799433026
88,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_4.jpeg,liked,5.246980764
89,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_30.jpeg,liked,3.30081769
90,Taylor,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_5.jpeg,liked,1.661473164
91,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_25.jpeg,liked,3.613205605
92,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_1.jpeg,did not like,4.988446431
93,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_18.jpeg,did not like,3.470791822
94,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_4.jpeg,did not like,3.820572462
95,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_13.jpeg,did not like,2.455989137
96,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_7.jpeg,did not like,3.79605092
97,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_6.jpeg,liked,3.562416326
98,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_14.jpeg,did not like,2.843822497
99,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_22.jpeg,liked,3.546495948
100,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_12.jpeg,liked,1.672012706
101,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_10.jpeg,liked,4.942172136
102,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_16.jpeg,liked,2.50187214
103,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_24.jpeg,did not like,2.071164779
104,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_28.jpeg,liked,5.336503566
105,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_27.jpeg,did not like,2.642157193
106,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_9.jpeg,liked,4.456234322
107,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_3.jpeg,did not like,4.438512181
108,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_23.jpeg,liked,2.682944783
109,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_17.jpeg,liked,4.51984296
110,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_30.jpeg,liked,3.195382774
111,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_26.jpeg,liked,1.779333479
112,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_20.jpeg,liked,4.312468682
113,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_8.jpeg,liked,4.940433059
114,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_5.jpeg,liked,2.7105123
115,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_15.jpeg,liked,3.602308302
116,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_29.jpeg,liked,4.106391878
117,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_11.jpeg,liked,3.799433026
118,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_2.jpeg,liked,5.246980764
119,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_21.jpeg,liked,3.30081769
120,Charlie,Acc,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_19.jpeg,liked,1.661473164
121,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_14.jpeg,liked,3.613205605
122,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_4.jpeg,liked,4.988446431
123,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_24.jpeg,liked,3.470791822
124,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_12.jpeg,liked,3.820572462
125,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_6.jpeg,did not like,2.455989137
126,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_20.jpeg,did not like,3.79605092
127,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_21.jpeg,did not like,3.562416326
128,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_16.jpeg,did not like,2.843822497
129,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_28.jpeg,liked,3.546495948
130,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_23.jpeg,liked,1.672012706
131,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_19.jpeg,did not like,4.942172136
132,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_2.jpeg,did not like,2.50187214
133,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_5.jpeg,did not like,2.071164779
134,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_18.jpeg,liked,5.336503566
135,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_22.jpeg,did not like,2.642157193
136,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_13.jpeg,did not like,4.456234322
137,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_26.jpeg,liked,4.438512181
138,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_25.jpeg,liked,2.682944783
139,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_3.jpeg,did not like,4.51984296
140,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_30.jpeg,liked,3.195382774
141,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_8.jpeg,did not like,1.779333479
142,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_9.jpeg,did not like,4.312468682
143,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_10.jpeg,liked,4.940433059
144,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_11.jpeg,liked,2.7105123
145,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_1.jpeg,liked,3.602308302
146,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_27.jpeg,liked,4.106391878
147,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_17.jpeg,did not like,3.799433026
148,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_15.jpeg,did not like,5.246980764
149,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_7.jpeg,liked,3.30081769
150,Riley,Neutral,Participant_Images/61084dbab48ab21fce452554/61084dbab48ab21fce452554_Images/61084dbab48ab21fce452554_Image_29.jpeg,did not like,1.661473164
